Sim, Time step, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, 
9, 8, green, 7, 5, -14, Go, red, 5, 5, -14, Go, white, 5, 9, -14, Exited, ,,,,, , 
9, 9, green, 8, 5, -16, Go, red, 5, 6, -16, Go, ,,,,, ,,,,, , 
9, 10, green, 9, 5, -18, Exited, red, 5, 7, -18, Go, ,,,,, ,,,,, , 
9, 11, ,,,,, red, 5, 8, -20, Go, ,,,,, ,,,,, , 
9, 12, ,,,,, red, 5, 9, -22, Exited, ,,,,, ,,,,, , 


10, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
10, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, white, 5, 3, -2, Go, white, 5, 4, -2, Go, , 
10, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, , 
10, 4, green, 4, 5, -6, Stop, red, 5, 3, -6, Stop, white, 5, 5, -6, Go, white, 5, 6, -6, Go, , 
10, 5, green, 4, 5, -8, Stop, red, 5, 3, -8, Go, white, 5, 6, -8, Go, white, 5, 7, -8, Go, , 
10, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, white, 5, 7, -10, Go, white, 5, 8, -10, Go, , 
10, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, , 
10, 8, green, 4, 5, -14, Go, red, 5, 5, -14, Go, white, 5, 9, -14, Exited, ,,,,, , 
10, 9, green, 5, 5, -16, Go, red, 5, 6, -16, Go, ,,,,, ,,,,, , 
10, 10, green, 6, 5, -18, Go, red, 5, 7, -18, Go, ,,,,, ,,,,, , 
10, 11, green, 7, 5, -20, Go, red, 5, 8, -20, Go, ,,,,, ,,,,, , 
10, 12, green, 8, 5, -22, Go, red, 5, 9, -22, Exited, ,,,,, ,,,,, , 
10, 13, green, 9, 5, -24, Exited, ,,,,, ,,,,, ,,,,, , 


11, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
11, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, white, 5, 3, -2, Go, white, 5, 4, -2, Go, , 
11, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, , 
11, 4, green, 4, 5, -6, Stop, red, 5, 3, -6, Go, white, 5, 5, -6, Go, white, 5, 6, -6, Go, , 
11, 5, green, 4, 5, -8, Stop, red, 5, 4, -8, Stop, white, 5, 6, -8, Go, white, 5, 7, -8, Go, , 
11, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, white, 5, 7, -10, Go, white, 5, 8, -10, Go, , 
11, 7, green, 4, 5, -12, Go, red, 5, 4, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, , 
11, 8, green, 5, 5, -19, Crashed, red, 5, 5, -19, Crashed, white, 5, 9, -14, Exited, ,,,,, , 



12, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
12, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, white, 5, 3, -2, Go, white, 5, 4, -2, Go, , 
12, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, , 
12, 4, green, 4, 5, -6, Stop, red, 5, 3, -6, Go, white, 5, 5, -6, Go, white, 5, 6, -6, Go, , 
12, 5, green, 4, 5, -8, Stop, red, 5, 4, -8, Stop, white, 5, 6, -8, Go, white, 5, 7, -8, Go, , 
12, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, white, 5, 7, -10, Go, white, 5, 8, -10, Go, , 
12, 7, green, 4, 5, -12, Go, red, 5, 4, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, , 
12, 8, green, 5, 5, -19, Crashed, red, 5, 5, -19, Crashed, white, 5, 9, -14, Exited, ,,,,, , 



13, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
13, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, white, 5, 3, -2, Go, white, 5, 4, -2, Go, , 
13, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, , 
13, 4, green, 4, 5, -6, Stop, red, 5, 3, -6, Go, white, 5, 5, -6, Go, white, 5, 6, -6, Go, , 
13, 5, green, 4, 5, -8, Stop, red, 5, 4, -8, Stop, white, 5, 6, -8, Go, white, 5, 7, -8, Go, , 
13, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, white, 5, 7, -10, Go, white, 5, 8, -10, Go, , 
13, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Stop, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, , 
13, 8, green, 4, 5, -14, Stop, red, 5, 4, -14, Stop, white, 5, 9, -14, Exited, ,,,,, , 
13, 9, green, 4, 5, -16, Stop, red, 5, 4, -16, Stop, ,,,,, ,,,,, , 
13, 10, green, 4, 5, -18, Stop, red, 5, 4, -18, Go, ,,,,, ,,,,, , 
13, 11, green, 4, 5, -20, Stop, red, 5, 5, -20, Go, ,,,,, ,,,,, , 
13, 12, green, 4, 5, -22, Go, red, 5, 6, -22, Go, ,,,,, ,,,,, , 
13, 13, green, 5, 5, -24, Go, red, 5, 7, -24, Go, ,,,,, ,,,,, , 
13, 14, green, 6, 5, -26, Go, red, 5, 8, -26, Go, ,,,,, ,,,,, , 
13, 15, green, 7, 5, -28, Go, red, 5, 9, -28, Exited, ,,,,, ,,,,, , 
13, 16, green, 8, 5, -30, Go, ,,,,, ,,,,, ,,,,, , 
