Time_stamp,green_car_x,green_car_y,green_car_reward,red_car_x,red_car_y,red_car_reward,white_car_x,white_car_y,white_car_reward,green_car_decision,red_car_decision,white_car_decision,Simulation
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,16
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,16
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,16
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,16
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,16
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,16
1,,,,,,,,,,,,,16
1,,,,,,,,,,,,,16
1,,,,,,,,,,,,,16
1,,,,,,,,,,,,,16
1,,,,,,,,,,,,,16
1,,,,,,,,,,,,,16
1,,,,,,,,,,,,,16
1,,,,,,,,,,,,,16
1,,,,,,,,,,,,,16
1,,,,,,,,,,,,,16
1,,,,,,,,,,,,,16
1,,,,,,,,,,,,,16
1,,,,,,,,,,,,,16
1,,,,,,,,,,,,,16
1,,,,,,,,,,,,,16
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,17
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,17
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,17
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,17
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,17
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,17
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,17
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,17
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,17
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,17
1,,,,,,,,,,,,,17
1,,,,,,,,,,,,,17
1,,,,,,,,,,,,,17
1,,,,,,,,,,,,,17
1,,,,,,,,,,,,,17
1,,,,,,,,,,,,,17
1,,,,,,,,,,,,,17
1,,,,,,,,,,,,,17
1,,,,,,,,,,,,,17
1,,,,,,,,,,,,,17
1,,,,,,,,,,,,,17
1,,,,,,,,,,,,,17
1,,,,,,,,,,,,,17
1,,,,,,,,,,,,,17
1,,,,,,,,,,,,,17
1,,,,,,,,,,,,,17
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,18
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,18
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,18
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,18
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,18
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,18
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,18
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,18
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,18
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,18
1,,,,,,,,,,,,,18
1,,,,,,,,,,,,,18
1,,,,,,,,,,,,,18
1,,,,,,,,,,,,,18
1,,,,,,,,,,,,,18
1,,,,,,,,,,,,,18
1,,,,,,,,,,,,,18
1,,,,,,,,,,,,,18
1,,,,,,,,,,,,,18
1,,,,,,,,,,,,,18
1,,,,,,,,,,,,,18
1,,,,,,,,,,,,,18
1,,,,,,,,,,,,,18
1,,,,,,,,,,,,,18
1,,,,,,,,,,,,,18
1,,,,,,,,,,,,,18
1,,,,,,,,,,,,,18
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,19
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,19
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,19
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,19
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,19
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,19
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,19
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,19
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,19
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,19
1,,,,,,,,,,,,,19
1,,,,,,,,,,,,,19
1,,,,,,,,,,,,,19
1,,,,,,,,,,,,,19
1,,,,,,,,,,,,,19
1,,,,,,,,,,,,,19
1,,,,,,,,,,,,,19
1,,,,,,,,,,,,,19
1,,,,,,,,,,,,,19
1,,,,,,,,,,,,,19
1,,,,,,,,,,,,,19
1,,,,,,,,,,,,,19
1,,,,,,,,,,,,,19
1,,,,,,,,,,,,,19
1,,,,,,,,,,,,,19
1,,,,,,,,,,,,,19
1,,,,,,,,,,,,,19
1,,,,,,,,,,,,,19
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,20
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,20
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,20
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,20
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,20
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,20
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,20
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,20
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,20
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,20
1,,,,,,,,,,,,,20
1,,,,,,,,,,,,,20
1,,,,,,,,,,,,,20
1,,,,,,,,,,,,,20
1,,,,,,,,,,,,,20
1,,,,,,,,,,,,,20
1,,,,,,,,,,,,,20
1,,,,,,,,,,,,,20
1,,,,,,,,,,,,,20
1,,,,,,,,,,,,,20
1,,,,,,,,,,,,,20
1,,,,,,,,,,,,,20
1,,,,,,,,,,,,,20
1,,,,,,,,,,,,,20
1,,,,,,,,,,,,,20
1,,,,,,,,,,,,,20
1,,,,,,,,,,,,,20
1,,,,,,,,,,,,,20
1,,,,,,,,,,,,,20
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,21
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,21
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,21
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,21
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,21
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,21
