Sim, Time step, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, 
19, 6, green, 6, 5, -10, Go, red, 5, 5, -10, Go, , 
19, 7, green, 7, 5, -12, Go, red, 5, 6, -12, Go, , 
19, 8, green, 8, 5, -14, Go, red, 5, 7, -14, Go, , 
19, 9, green, 9, 5, -16, Exited, red, 5, 8, -16, Go, , 
19, 10, ,,,,, red, 5, 9, -18, Exited, , 


20, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
20, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
20, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Go, , 
20, 4, green, 4, 5, -6, Stop, red, 5, 4, -6, Stop, , 
20, 5, green, 4, 5, -8, Stop, red, 5, 4, -8, Stop, , 
20, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Go, , 
20, 7, green, 4, 5, -12, Stop, red, 5, 5, -12, Go, , 
20, 8, green, 4, 5, -14, Go, red, 5, 6, -14, Go, , 
20, 9, green, 5, 5, -16, Go, red, 5, 7, -16, Go, , 
20, 10, green, 6, 5, -18, Go, red, 5, 8, -18, Go, , 
20, 11, green, 7, 5, -20, Go, red, 5, 9, -20, Exited, , 
20, 12, green, 8, 5, -22, Go, ,,,,, , 
20, 13, green, 9, 5, -24, Exited, ,,,,, , 


21, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
21, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
21, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Go, , 
21, 4, green, 4, 5, -6, Stop, red, 5, 4, -6, Stop, , 
21, 5, green, 4, 5, -8, Stop, red, 5, 4, -8, Stop, , 
21, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, , 
21, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Stop, , 
21, 8, green, 4, 5, -14, Stop, red, 5, 4, -14, Stop, , 
21, 9, green, 4, 5, -16, Stop, red, 5, 4, -16, Go, , 
21, 10, green, 4, 5, -18, Stop, red, 5, 5, -18, Go, , 
21, 11, green, 4, 5, -20, Go, red, 5, 6, -20, Go, , 
21, 12, green, 5, 5, -22, Go, red, 5, 7, -22, Go, , 
21, 13, green, 6, 5, -24, Go, red, 5, 8, -24, Go, , 
21, 14, green, 7, 5, -26, Go, red, 5, 9, -26, Exited, , 
21, 15, green, 8, 5, -28, Go, ,,,,, , 
21, 16, green, 9, 5, -30, Exited, ,,,,, , 


22, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
22, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
22, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, , 
22, 4, green, 4, 5, -6, Go, red, 5, 3, -6, Go, , 
22, 5, green, 5, 5, -8, Go, red, 5, 4, -8, Go, , 
22, 6, green, 6, 5, -10, Go, red, 5, 5, -10, Go, , 
22, 7, green, 7, 5, -12, Go, red, 5, 6, -12, Go, , 
22, 8, green, 8, 5, -14, Go, red, 5, 7, -14, Go, , 
22, 9, green, 9, 5, -16, Exited, red, 5, 8, -16, Go, , 
22, 10, ,,,,, red, 5, 9, -18, Exited, , 


23, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
23, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
23, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, , 
23, 4, green, 4, 5, -6, Stop, red, 5, 3, -6, Stop, , 
23, 5, green, 4, 5, -8, Go, red, 5, 3, -8, Go, , 
23, 6, green, 5, 5, -10, Go, red, 5, 4, -10, Go, , 
23, 7, green, 6, 5, -12, Go, red, 5, 5, -12, Go, , 
23, 8, green, 7, 5, -14, Go, red, 5, 6, -14, Go, , 
23, 9, green, 8, 5, -16, Go, red, 5, 7, -16, Go, , 
23, 10, green, 9, 5, -18, Exited, red, 5, 8, -18, Go, , 
23, 11, ,,,,, red, 5, 9, -20, Exited, , 


24, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
24, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
24, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Go, , 
24, 4, green, 4, 5, -6, Stop, red, 5, 4, -6, Stop, , 
24, 5, green, 4, 5, -8, Stop, red, 5, 4, -8, Stop, , 
24, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, , 
24, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Stop, , 
24, 8, green, 4, 5, -14, Stop, red, 5, 4, -14, Stop, , 
24, 9, green, 4, 5, -16, Go, red, 5, 4, -16, Stop, , 
24, 10, green, 5, 5, -18, Go, red, 5, 4, -18, Go, , 
24, 11, green, 6, 5, -20, Go, red, 5, 5, -20, Go, , 
24, 12, green, 7, 5, -22, Go, red, 5, 6, -22, Go, , 
24, 13, green, 8, 5, -24, Go, red, 5, 7, -24, Go, , 
24, 14, green, 9, 5, -26, Exited, red, 5, 8, -26, Go, , 
24, 15, ,,,,, red, 5, 9, -28, Exited, , 


25, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
25, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
25, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Go, , 
25, 4, green, 4, 5, -6, Stop, red, 5, 4, -6, Stop, , 
25, 5, green, 4, 5, -8, Stop, red, 5, 4, -8, Stop, , 
25, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, , 
25, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Stop, , 
25, 8, green, 4, 5, -14, Stop, red, 5, 4, -14, Go, , 
25, 9, green, 4, 5, -16, Stop, red, 5, 5, -16, Go, , 
25, 10, green, 4, 5, -18, Go, red, 5, 6, -18, Go, , 
25, 11, green, 5, 5, -20, Go, red, 5, 7, -20, Go, , 
25, 12, green, 6, 5, -22, Go, red, 5, 8, -22, Go, , 
25, 13, green, 7, 5, -24, Go, red, 5, 9, -24, Exited, , 
25, 14, green, 8, 5, -26, Go, ,,,,, , 
25, 15, green, 9, 5, -28, Exited, ,,,,, , 


26, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
26, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
26, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, , 
26, 4, green, 4, 5, -6, Go, red, 5, 3, -6, Go, , 
26, 5, green, 5, 5, -8, Go, red, 5, 4, -8, Go, , 
26, 6, green, 6, 5, -10, Go, red, 5, 5, -10, Go, , 
26, 7, green, 7, 5, -12, Go, red, 5, 6, -12, Go, , 
26, 8, green, 8, 5, -14, Go, red, 5, 7, -14, Go, , 
26, 9, green, 9, 5, -16, Exited, red, 5, 8, -16, Go, , 
26, 10, ,,,,, red, 5, 9, -18, Exited, , 


27, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
27, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
27, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Go, , 
27, 4, green, 4, 5, -6, Stop, red, 5, 4, -6, Stop, , 
27, 5, green, 4, 5, -8, Go, red, 5, 4, -8, Stop, , 
27, 6, green, 5, 5, -10, Go, red, 5, 4, -10, Go, , 
27, 7, green, 6, 5, -12, Go, red, 5, 5, -12, Go, , 
27, 8, green, 7, 5, -14, Go, red, 5, 6, -14, Go, , 
27, 9, green, 8, 5, -16, Go, red, 5, 7, -16, Go, , 
27, 10, green, 9, 5, -18, Exited, red, 5, 8, -18, Go, , 
27, 11, ,,,,, red, 5, 9, -20, Exited, , 


28, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
28, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
28, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Go, , 
28, 4, green, 4, 5, -6, Stop, red, 5, 4, -6, Stop, , 
28, 5, green, 4, 5, -8, Stop, red, 5, 4, -8, Stop, , 
28, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, , 
28, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Go, , 
28, 8, green, 4, 5, -14, Go, red, 5, 5, -14, Go, , 
28, 9, green, 5, 5, -16, Go, red, 5, 6, -16, Go, , 
28, 10, green, 6, 5, -18, Go, red, 5, 7, -18, Go, , 
28, 11, green, 7, 5, -20, Go, red, 5, 8, -20, Go, , 
28, 12, green, 8, 5, -22, Go, red, 5, 9, -22, Exited, , 
28, 13, green, 9, 5, -24, Exited, ,,,,, , 


29, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
29, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
29, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, , 
29, 4, green, 4, 5, -6, Go, red, 5, 3, -6, Go, , 
29, 5, green, 5, 5, -8, Go, red, 5, 4, -8, Go, , 
29, 6, green, 6, 5, -10, Go, red, 5, 5, -10, Go, , 
29, 7, green, 7, 5, -12, Go, red, 5, 6, -12, Go, , 
29, 8, green, 8, 5, -14, Go, red, 5, 7, -14, Go, , 
29, 9, green, 9, 5, -16, Exited, red, 5, 8, -16, Go, , 
29, 10, ,,,,, red, 5, 9, -18, Exited, , 


30, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
30, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
30, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, , 
30, 4, green, 4, 5, -6, Go, red, 5, 3, -6, Stop, , 
30, 5, green, 5, 5, -8, Go, red, 5, 3, -8, Go, , 
30, 6, green, 6, 5, -10, Go, red, 5, 4, -10, Go, , 
30, 7, green, 7, 5, -12, Go, red, 5, 5, -12, Go, , 
30, 8, green, 8, 5, -14, Go, red, 5, 6, -14, Go, , 
30, 9, green, 9, 5, -16, Exited, red, 5, 7, -16, Go, , 
30, 10, ,,,,, red, 5, 8, -18, Go, , 
30, 11, ,,,,, red, 5, 9, -20, Exited, , 


31, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
31, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
31, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, , 
31, 4, green, 4, 5, -6, Go, red, 5, 3, -6, Go, , 
