Sim, Time step, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, 
17, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, , 
17, 4, green, 4, 5, -6, Stop, red, 5, 3, -6, Go, , 
17, 5, green, 4, 5, -8, Stop, red, 5, 4, -8, Stop, , 
17, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, , 
17, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Stop, , 
17, 8, green, 4, 5, -14, Stop, red, 5, 4, -14, Stop, , 
17, 9, green, 4, 5, -16, Stop, red, 5, 4, -16, Stop, , 
17, 10, green, 4, 5, -18, Stop, red, 5, 4, -18, Stop, , 
17, 11, green, 4, 5, -20, Stop, red, 5, 4, -20, Stop, , 
17, 12, green, 4, 5, -22, Stop, red, 5, 4, -22, Stop, , 
17, 13, green, 4, 5, -24, Stop, red, 5, 4, -24, Go, , 
17, 14, green, 4, 5, -26, Stop, red, 5, 5, -26, Go, , 
17, 15, green, 4, 5, -28, Go, red, 5, 6, -28, Go, , 
17, 16, green, 5, 5, -30, Go, red, 5, 7, -30, Go, , 
17, 17, green, 6, 5, -32, Go, red, 5, 8, -32, Go, , 
17, 18, green, 7, 5, -34, Go, red, 5, 9, -34, Exited, , 
17, 19, green, 8, 5, -36, Go, ,,,,, , 
17, 20, green, 9, 5, -38, Exited, ,,,,, , 


18, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
18, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
18, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, , 
18, 4, green, 4, 5, -6, Stop, red, 5, 3, -6, Go, , 
18, 5, green, 4, 5, -8, Stop, red, 5, 4, -8, Stop, , 
18, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, , 
18, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Stop, , 
18, 8, green, 4, 5, -14, Stop, red, 5, 4, -14, Stop, , 
18, 9, green, 4, 5, -16, Stop, red, 5, 4, -16, Stop, , 
18, 10, green, 4, 5, -18, Stop, red, 5, 4, -18, Stop, , 
18, 11, green, 4, 5, -20, Stop, red, 5, 4, -20, Stop, , 
18, 12, green, 4, 5, -22, Stop, red, 5, 4, -22, Stop, , 
18, 13, green, 4, 5, -24, Stop, red, 5, 4, -24, Stop, , 
18, 14, green, 4, 5, -26, Stop, red, 5, 4, -26, Stop, , 
18, 15, green, 4, 5, -28, Stop, red, 5, 4, -28, Stop, , 
18, 16, green, 4, 5, -30, Stop, red, 5, 4, -30, Stop, , 
